datetime,service_region,demand
2021-06-01 00:00:00,0,28
2021-06-01 00:00:00,1,10
2021-06-01 00:00:00,2,22
2021-06-01 00:00:00,3,0
2021-06-01 00:00:00,4,6
2021-06-01 00:00:00,5,6
2021-06-01 00:00:00,6,9
2021-06-01 00:00:00,7,25
2021-06-01 00:00:00,8,5
2021-06-01 00:00:00,9,4
2021-06-01 00:00:00,10,28
2021-06-01 00:00:00,11,10
2021-06-01 00:00:00,12,9
2021-06-01 00:00:00,13,2
2021-06-01 00:00:00,14,10
2021-06-01 00:00:00,15,39
2021-06-01 00:00:00,16,6
2021-06-01 00:00:00,17,11
2021-06-01 00:00:00,18,9
2021-06-01 00:00:00,19,11
2021-06-01 00:00:00,20,11
2021-06-01 00:00:00,21,8
2021-06-01 00:00:00,22,20
2021-06-01 00:00:00,23,8
2021-06-01 00:00:00,24,3
2021-06-01 00:00:00,25,9
2021-06-01 00:00:00,26,6
2021-06-01 00:00:00,27,8
2021-06-01 00:00:00,28,4
2021-06-01 00:00:00,29,2
2021-06-01 00:00:00,30,14
2021-06-01 00:00:00,31,15
2021-06-01 00:00:00,32,8
2021-06-01 00:00:00,33,23
2021-06-01 00:00:00,34,2
2021-06-01 00:00:00,35,5
2021-06-01 00:00:00,36,15
2021-06-01 00:00:00,37,8
2021-06-01 00:00:00,38,3
2021-06-01 00:00:00,39,5
2021-06-01 00:00:00,40,5
2021-06-01 00:00:00,41,2
2021-06-01 00:00:00,42,61
2021-06-01 00:00:00,43,20
2021-06-01 00:00:00,44,19
2021-06-01 00:00:00,45,16
2021-06-01 00:00:00,46,4
2021-06-01 00:00:00,47,1
2021-06-01 00:00:00,48,40
2021-06-01 00:00:00,49,10
2021-06-01 01:00:00,0,12
2021-06-01 01:00:00,1,11
2021-06-01 01:00:00,2,20
2021-06-01 01:00:00,3,0
2021-06-01 01:00:00,4,5
2021-06-01 01:00:00,5,8
2021-06-01 01:00:00,6,12
2021-06-01 01:00:00,7,18
2021-06-01 01:00:00,8,5
2021-06-01 01:00:00,9,7
2021-06-01 01:00:00,10,8
2021-06-01 01:00:00,11,11
2021-06-01 01:00:00,12,12
2021-06-01 01:00:00,13,4
